tournament_id,edition_year,year,team_id,team,team_code,confederation,group,coach,player_name,position,pos_code,jersey_number,date_of_birth,club,caps,goals,is_captain,is_final_squad,source_url,source_as_of
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Julián Araujo,defender,DF,,2001-08-13,Celtic,16,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Luis Rey,defender,DF,,2002-09-14,Puebla,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Mateo Chávez,defender,DF,,2004-05-11,AZ,7,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Ramón Juárez,defender,DF,,2001-05-03,América,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Richard Ledezma,defender,DF,,2000-09-06,Guadalajara,3,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Víctor Guzmán,defender,DF,,2002-03-07,Monterrey,6,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Alexis Vega,forward,FW,,1997-11-25,Toluca,49,7,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Armando González,forward,FW,,2003-04-20,Guadalajara,6,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,César Huerta,forward,FW,,2000-12-03,Anderlecht,25,3,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Germán Berterame,forward,FW,,1998-11-13,Inter Miami CF,9,2,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
