tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1986-04-05,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,2,0,win,Riffa,Bahrain,TRUE,1513,1497,1542,1468,29
,,,1986-09-07,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Singapore,,,,FALSE,4,0,win,Kallang,Singapore,FALSE,1542,1201,1549,1194,7
,,,1986-09-21,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Malaysia,,,,FALSE,3,1,win,Gwangju,South Korea,TRUE,1549,1371,1565,1355,16
,,,1986-09-25,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Indonesia,IDN,IDN,AFC,FALSE,2,0,win,Gwangju,South Korea,TRUE,1565,1170,1571,1164,6
,,,1986-09-29,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,1,0,win,Gwangju,South Korea,TRUE,1571,1466,1585,1452,14
,,,1986-10-01,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,1,1,draw,Seoul,South Korea,TRUE,1585,1546,1583,1548,-2
,,,1986-10-03,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,2,2,draw,Seoul,South Korea,TRUE,1583,1637,1586,1634,3
,,,1986-10-05,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,South Korea,KOR,KOR,AFC,FALSE,0,2,loss,Seoul,South Korea,FALSE,1586,1619,1567,1638,-19
,,,1988-02-17,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Scotland,SCO,SCO,UEFA,TRUE,2,2,draw,Riyadh,Saudi Arabia,FALSE,1522,1798,1527,1793,5
,,,1988-03-02,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,TRUE,2,0,win,Riyadh,Saudi Arabia,FALSE,1527,1047,1529,1045,2
,,,1988-03-05,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,0,0,draw,Riyadh,Saudi Arabia,FALSE,1529,1448,1519,1458,-10
,,,1988-03-09,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,TRUE,1,0,win,Riyadh,Saudi Arabia,FALSE,1519,1265,1524,1260,5
,,,1988-03-13,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,2,2,draw,Riyadh,Saudi Arabia,FALSE,1524,1468,1516,1476,-8
,,,1988-03-16,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,0,2,loss,Riyadh,Saudi Arabia,FALSE,1516,1663,1490,1689,-26
