tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1998-10-10,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Malta,,,,FALSE,4,1,win,Attard,Malta,FALSE,1962,1219,1964,1217,2
,,,1998-10-14,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,North Macedonia,,,,TRUE,3,2,win,Zagreb,Croatia,FALSE,1964,1563,1966,1561,2
,,,1999-02-10,Friendly,played,Croatia,HRV,HRV,UEFA,Denmark,DNK,DNK,UEFA,TRUE,0,1,loss,Split,Croatia,FALSE,1966,1820,1950,1836,-16
,,,1999-03-10,Friendly,played,Croatia,HRV,HRV,UEFA,Greece,GRC,GRC,UEFA,FALSE,2,3,loss,Athens,Greece,FALSE,1950,1751,1937,1764,-13
,,,1999-04-28,Friendly,played,Croatia,HRV,HRV,UEFA,Italy,ITA,ITA,UEFA,TRUE,0,0,draw,Zagreb,Croatia,FALSE,1937,2010,1936,2011,-1
,,,1999-05-05,Friendly,played,Croatia,HRV,HRV,UEFA,Spain,ESP,ESP,UEFA,FALSE,1,3,loss,Seville,Spain,FALSE,1936,1991,1927,2000,-9
,,,1999-06-05,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,North Macedonia,,,,FALSE,1,1,draw,Skopje,North Macedonia,FALSE,1927,1553,1914,1566,-13
,,,1999-06-13,Korea Cup,played,Croatia,HRV,HRV,UEFA,Egypt,EGY,EGY,CAF,TRUE,2,2,draw,Seoul,South Korea,TRUE,1914,1668,1905,1677,-9
,,,1999-06-16,Korea Cup,played,Croatia,HRV,HRV,UEFA,Mexico,MEX,MEX,CONCACAF,TRUE,2,1,win,Seoul,South Korea,TRUE,1905,1874,1919,1860,14
,,,1999-06-19,Korea Cup,played,Croatia,HRV,HRV,UEFA,South Korea,KOR,KOR,AFC,FALSE,1,1,draw,Seoul,South Korea,FALSE,1919,1720,1915,1724,-4
,,,1999-08-18,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Serbia,SRB,SRB,UEFA,FALSE,0,0,draw,Belgrade,FR Yugoslavia,FALSE,,,,,
,,,1999-08-21,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Malta,,,,TRUE,2,1,win,Zagreb,Croatia,FALSE,1922,1204,1922,1204,0
,,,1999-09-04,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Republic of Ireland,IRL,IRL,UEFA,TRUE,1,0,win,Zagreb,Croatia,FALSE,,,,,
,,,1999-10-09,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Serbia,SRB,SRB,UEFA,TRUE,2,2,draw,Zagreb,Croatia,FALSE,,,,,
,,,1999-11-13,Friendly,played,Croatia,HRV,HRV,UEFA,France,FRA,FRA,UEFA,FALSE,0,3,loss,Saint-Denis,France,FALSE,1924,2033,1916,2041,-8
,,,2000-02-23,Friendly,played,Croatia,HRV,HRV,UEFA,Spain,ESP,ESP,UEFA,TRUE,0,0,draw,Split,Croatia,FALSE,1916,2010,1916,2010,0
,,,2000-03-29,Friendly,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,TRUE,1,1,draw,Zagreb,Croatia,FALSE,1916,1881,1912,1885,-4
,,,2000-04-26,Friendly,played,Croatia,HRV,HRV,UEFA,Austria,AUT,AUT,UEFA,FALSE,2,1,win,Vienna,Austria,FALSE,1912,1698,1919,1691,7
,,,2000-05-28,Friendly,played,Croatia,HRV,HRV,UEFA,France,FRA,FRA,UEFA,TRUE,0,2,loss,Zagreb,Croatia,FALSE,1919,2051,1905,2065,-14
,,,2000-08-16,Friendly,played,Croatia,HRV,HRV,UEFA,Slovakia,SVK,SVK,UEFA,FALSE,1,1,draw,Bratislava,Slovakia,FALSE,1905,1715,1902,1718,-3
,,,2000-09-02,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Belgium,BEL,BEL,UEFA,FALSE,0,0,draw,Brussels,Belgium,FALSE,1902,1767,1900,1769,-2
,,,2000-10-11,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Scotland,SCO,SCO,UEFA,TRUE,1,1,draw,Zagreb,Croatia,FALSE,1900,1751,1888,1763,-12
,,,2001-02-28,Friendly,played,Croatia,HRV,HRV,UEFA,Austria,AUT,AUT,UEFA,TRUE,1,0,win,Rijeka,Croatia,FALSE,1888,1719,1892,1715,4
,,,2001-03-24,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Latvia,,,,TRUE,4,1,win,Osijek,Croatia,FALSE,1892,1422,1895,1419,3
,,,2001-04-25,Friendly,played,Croatia,HRV,HRV,UEFA,Greece,GRC,GRC,UEFA,TRUE,2,2,draw,Varaždin,Croatia,FALSE,1895,1684,1888,1691,-7
,,,2001-06-02,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,San Marino,,,,TRUE,4,0,win,Varaždin,Croatia,FALSE,1888,956,1888,956,0
,,,2001-06-06,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Latvia,,,,FALSE,1,0,win,Riga,Latvia,FALSE,1888,1397,1892,1393,4
,,,2001-08-15,Friendly,played,Croatia,HRV,HRV,UEFA,Republic of Ireland,IRL,IRL,UEFA,FALSE,2,2,draw,Dublin,Republic of Ireland,FALSE,,,,,
,,,2001-09-01,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Scotland,SCO,SCO,UEFA,FALSE,0,0,draw,Glasgow,Scotland,FALSE,1893,1746,1890,1749,-3
,,,2001-09-05,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,San Marino,,,,FALSE,4,0,win,Serravalle,San Marino,FALSE,1890,955,1891,954,1
,,,2001-10-06,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Belgium,BEL,BEL,UEFA,TRUE,1,0,win,Zagreb,Croatia,FALSE,1891,1796,1901,1786,10
,,,2001-11-10,Friendly,played,Croatia,HRV,HRV,UEFA,South Korea,KOR,KOR,AFC,FALSE,0,2,loss,Seoul,South Korea,FALSE,1901,1784,1885,1800,-16
,,,2001-11-13,Friendly,played,Croatia,HRV,HRV,UEFA,South Korea,KOR,KOR,AFC,FALSE,1,1,draw,Gwangju,South Korea,FALSE,1885,1800,1885,1800,0
,,,2002-02-13,Friendly,played,Croatia,HRV,HRV,UEFA,Bulgaria,BGR,BGR,UEFA,TRUE,0,0,draw,Rijeka,Croatia,FALSE,1885,1680,1878,1687,-7
,,,2002-03-27,Friendly,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,TRUE,0,0,draw,Zagreb,Croatia,FALSE,1878,1730,1872,1736,-6
,,,2002-04-17,Friendly,played,Croatia,HRV,HRV,UEFA,Bosnia and Herzegovina,BIH,BIH,UEFA,TRUE,2,0,win,Zagreb,Croatia,FALSE,1872,1526,1874,1524,2
,,,2002-05-08,Friendly,played,Croatia,HRV,HRV,UEFA,Hungary,HUN,HUN,UEFA,FALSE,2,0,win,Pécs,Hungary,FALSE,1874,1565,1881,1558,7
