date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1995-06-04,African Cup of Nations qualification,played,Togo,TGO,Tunisia,TUN,TRUE,0,1,loss,Lomé,Togo,FALSE,1334,1540,1320,1554,-14
1995-07-14,African Cup of Nations qualification,played,Togo,TGO,Mauritania,,FALSE,1,2,loss,Nouakchott,Mauritania,FALSE,1320,1144,1296,1168,-24
1996-06-02,FIFA World Cup qualification,played,Togo,TGO,Senegal,SEN,TRUE,2,1,win,Lomé,Togo,FALSE,1296,1458,1320,1434,24
1996-06-09,Friendly,played,Togo,TGO,Nigeria,NGA,FALSE,3,1,win,Lagos,Nigeria,FALSE,1320,1819,1349,1790,29
1996-06-16,FIFA World Cup qualification,played,Togo,TGO,Senegal,SEN,FALSE,1,1,draw,Dakar,Senegal,FALSE,,,,,
1996-08-11,African Cup of Nations qualification,played,Togo,TGO,Congo,,FALSE,0,0,draw,Pointe-Noire,Congo,FALSE,1359,1418,1368,1409,9
1996-08-20,Friendly,played,Togo,TGO,Benin,,TRUE,2,0,win,Lomé,Togo,FALSE,1368,1168,1373,1163,5
1996-08-25,African Cup of Nations qualification,played,Togo,TGO,Congo,,TRUE,1,0,win,Lomé,Togo,FALSE,1373,1409,1389,1393,16
1996-10-05,African Cup of Nations qualification,played,Togo,TGO,Tanzania,,TRUE,2,1,win,Lomé,Togo,FALSE,1389,1389,1403,1375,14
1996-11-03,Friendly,played,Togo,TGO,Gabon,,TRUE,0,1,loss,Lomé,Togo,FALSE,1403,1512,1393,1522,-10
1996-11-10,FIFA World Cup qualification,played,Togo,TGO,Cameroon,CMR,TRUE,2,4,loss,Lomé,Togo,FALSE,1393,1552,1368,1577,-25
1997-01-06,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,4,0,win,Lomé,Togo,FALSE,1368,1580,1393,1555,25
1997-01-12,FIFA World Cup qualification,played,Togo,TGO,Zimbabwe,,FALSE,0,3,loss,Harare,Zimbabwe,FALSE,1393,1533,1379,1547,-14
1997-01-19,Friendly,played,Togo,TGO,Benin,,FALSE,1,1,draw,Cotonou,Benin,FALSE,1379,1189,1376,1192,-3
1997-01-26,African Cup of Nations qualification,played,Togo,TGO,Liberia,,FALSE,2,1,win,Accra,Ghana,TRUE,1376,1403,1398,1381,22
1997-02-23,African Cup of Nations qualification,played,Togo,TGO,DR Congo,,TRUE,1,1,draw,Lomé,Togo,FALSE,,,,,
1997-03-30,Friendly,played,Togo,TGO,Gabon,,FALSE,1,2,loss,Libreville,Gabon,FALSE,1398,1462,1392,1468,-6
1997-04-06,FIFA World Cup qualification,played,Togo,TGO,Angola,AGO,FALSE,1,3,loss,Luanda,Angola,FALSE,1392,1497,1378,1511,-14
1997-04-27,FIFA World Cup qualification,played,Togo,TGO,Cameroon,CMR,FALSE,0,2,loss,Yaoundé,Cameroon,FALSE,1378,1574,1369,1583,-9
1997-06-04,Friendly,played,Togo,TGO,Burkina Faso,,TRUE,0,0,draw,Lomé,Togo,FALSE,1369,1319,1365,1323,-4
1997-06-08,FIFA World Cup qualification,played,Togo,TGO,Zimbabwe,,TRUE,2,1,win,Lomé,Togo,FALSE,1365,1495,1387,1473,22
1997-06-22,African Cup of Nations qualification,played,Togo,TGO,Tanzania,,FALSE,0,1,loss,Arusha,Tanzania,FALSE,1387,1305,1368,1324,-19
1997-07-13,African Cup of Nations qualification,played,Togo,TGO,Liberia,,TRUE,4,0,win,Lomé,Togo,FALSE,1368,1394,1398,1364,30
1997-07-27,African Cup of Nations qualification,played,Togo,TGO,DR Congo,,FALSE,0,1,loss,Kinshasa,DR Congo,FALSE,1398,1448,1386,1460,-12
1997-08-17,FIFA World Cup qualification,played,Togo,TGO,Angola,AGO,TRUE,1,1,draw,Lomé,Togo,FALSE,1386,1540,1389,1537,3
1997-11-26,Friendly,played,Togo,TGO,Morocco,MAR,FALSE,0,3,loss,Rabat,Morocco,FALSE,1384,1736,1382,1738,-2
1997-12-18,Friendly,played,Togo,TGO,Egypt,EGY,FALSE,2,7,loss,Aswan,Egypt,FALSE,1382,1605,1377,1610,-5
1997-12-22,Friendly,played,Togo,TGO,Algeria,DZA,FALSE,1,0,win,Cairo,Egypt,TRUE,1377,1557,1392,1542,15
1997-12-24,Friendly,played,Togo,TGO,Cameroon,CMR,FALSE,1,3,loss,Cairo,Egypt,TRUE,1392,1545,1383,1554,-9
1998-01-04,Friendly,played,Togo,TGO,Guinea,,FALSE,0,1,loss,Conakry,Guinea,FALSE,1383,1473,1378,1478,-5
1998-01-11,Friendly,played,Togo,TGO,Mozambique,,TRUE,1,2,loss,Lomé,Togo,FALSE,1378,1386,1365,1399,-13
1998-01-29,Friendly,played,Togo,TGO,Mali,,TRUE,2,1,win,Lomé,Togo,FALSE,1365,1449,1375,1439,10
1998-02-01,Friendly,played,Togo,TGO,Mali,,TRUE,0,4,loss,Lomé,Togo,FALSE,1375,1439,1354,1460,-21
1998-02-09,African Cup of Nations,played,Togo,TGO,DR Congo,,FALSE,1,2,loss,Ouagadougou,Burkina Faso,TRUE,1354,1448,1336,1466,-18
1998-02-12,African Cup of Nations,played,Togo,TGO,Ghana,GHA,FALSE,2,1,win,Ouagadougou,Burkina Faso,TRUE,1336,1533,1374,1495,38
1998-02-16,African Cup of Nations,played,Togo,TGO,Tunisia,TUN,FALSE,1,3,loss,Ouagadougou,Burkina Faso,TRUE,1374,1629,1360,1643,-14
1998-08-02,African Cup of Nations qualification,played,Togo,TGO,São Tomé and Príncipe,,FALSE,4,0,win,Libreville,Gabon,TRUE,,,,,
1998-08-18,African Cup of Nations qualification,played,Togo,TGO,São Tomé and Príncipe,,TRUE,2,0,win,Lomé,Togo,FALSE,,,,,
1998-08-23,Friendly,played,Togo,TGO,Burkina Faso,,FALSE,1,1,draw,Ouagadougou,Burkina Faso,FALSE,1374,1388,1377,1385,3
1998-09-06,Friendly,played,Togo,TGO,Benin,,TRUE,0,1,loss,Lomé,Togo,FALSE,1377,1220,1361,1236,-16
1998-09-20,Friendly,played,Togo,TGO,Mali,,TRUE,0,1,loss,Lomé,Togo,FALSE,1361,1446,1351,1456,-10
1998-10-04,African Cup of Nations qualification,played,Togo,TGO,Guinea,,TRUE,2,0,win,Lomé,Togo,FALSE,1351,1480,1383,1448,32
1999-01-03,Friendly,played,Togo,TGO,Ivory Coast,CIV,FALSE,1,3,loss,Abidjan,Ivory Coast,FALSE,1383,1609,1379,1613,-4
1999-02-28,African Cup of Nations qualification,played,Togo,TGO,Morocco,MAR,TRUE,2,3,loss,Lomé,Togo,FALSE,1367,1763,1361,1769,-6
1999-04-11,African Cup of Nations qualification,played,Togo,TGO,Morocco,MAR,FALSE,1,1,draw,Rabat,Morocco,FALSE,,,,,
1999-06-20,African Cup of Nations qualification,played,Togo,TGO,Guinea,,FALSE,1,2,loss,Conakry,Guinea,FALSE,1379,1442,1368,1453,-11
1999-11-07,Friendly,played,Togo,TGO,Burkina Faso,,FALSE,0,1,loss,Ouagadougou,Burkina Faso,FALSE,1368,1456,1363,1461,-5
1999-11-10,Friendly,played,Togo,TGO,Burkina Faso,,FALSE,1,1,draw,Ouagadougou,Burkina Faso,FALSE,1363,1461,1368,1456,5
1999-11-19,Friendly,played,Togo,TGO,Libya,,FALSE,1,2,loss,Agilat,Libya,FALSE,1368,1450,1363,1455,-5
1999-11-26,Friendly,played,Togo,TGO,Gabon,,FALSE,0,0,draw,Libreville,Gabon,FALSE,,,,,
1999-11-28,Friendly,played,Togo,TGO,Congo,,FALSE,1,2,loss,Libreville,Gabon,TRUE,1371,1404,1357,1418,-14
1999-12-27,Friendly,played,Togo,TGO,Gabon,,FALSE,2,3,loss,Benghazi,Libya,TRUE,1357,1453,1346,1464,-11
1999-12-29,Friendly,played,Togo,TGO,Libya,,FALSE,0,2,loss,Benghazi,Libya,FALSE,1346,1473,1336,1483,-10
2000-01-04,Friendly,played,Togo,TGO,Egypt,EGY,FALSE,1,2,loss,Aswan,Egypt,FALSE,1336,1629,1334,1631,-2
2000-01-07,Friendly,played,Togo,TGO,Tunisia,TUN,FALSE,0,7,loss,Tunis,Tunisia,FALSE,1334,1644,1330,1648,-4
2000-01-19,Friendly,played,Togo,TGO,Egypt,EGY,TRUE,1,0,win,Lomé,Togo,FALSE,1330,1624,1345,1609,15
2000-01-24,African Cup of Nations,played,Togo,TGO,Ivory Coast,CIV,FALSE,1,1,draw,Accra,Ghana,TRUE,1345,1577,1360,1562,15
2000-01-27,African Cup of Nations,played,Togo,TGO,Ghana,GHA,FALSE,0,2,loss,Accra,Ghana,FALSE,1360,1594,1350,1604,-10
2000-01-31,African Cup of Nations,played,Togo,TGO,Cameroon,CMR,FALSE,1,0,win,Kumasi,Ghana,TRUE,1350,1628,1392,1586,42
